TimeStamp;NodeID;NodeCount;SF;WorkerCount;Table name;time in ms;size in byte;speed
1402475764161;1;1;10.0;1;ALL;181805;5631259504;29.5 MiB/s;
1402475764161;1;1;10.0;1;CUSTOMER;1076;27224547;24.1 MiB/s;
1402475764161;1;1;10.0;1;LINEORDER;178823;5529234056;29.5 MiB/s;
1402475764161;1;1;10.0;1;PART;1270;72980859;54.8 MiB/s;
1402475764161;1;1;10.0;1;SUPPLIER;167;1592977;9.1 MiB/s;
1402547597762;1;1;1.0;1;ALL;27404;575350159;20.0 MiB/s;
1402547597762;1;1;1.0;1;LINEORDER;27380;575350159;20.0 MiB/s;
1402552433298;1;1;1.0;1;ALL;27758;596674331;20.5 MiB/s;
1402552433298;1;1;1.0;1;CUSTOMER;91;2698630;28.3 MiB/s;
1402552433298;1;1;1.0;1;LINEORDER;27086;575350159;20.3 MiB/s;
1402552433298;1;1;1.0;1;PART;341;18241094;51.0 MiB/s;
1402552433298;1;1;1.0;1;SUPPLIER;54;157383;2.8 MiB/s;
1402552831552;1;1;10.0;1;ALL;154835;5631633618;34.7 MiB/s;
1402552831552;1;1;10.0;1;CUSTOMER;549;27271589;47.4 MiB/s;
1402552831552;1;1;10.0;1;LINEORDER;152793;5529234056;34.5 MiB/s;
1402552831552;1;1;10.0;1;PART;1189;73304541;58.8 MiB/s;
1402552831552;1;1;10.0;1;SUPPLIER;108;1596367;14.1 MiB/s;
1402553754854;1;1;10.0;1;ALL;172423;5631259504;31.1 MiB/s;
1402553754854;1;1;10.0;1;CUSTOMER;768;27224547;33.8 MiB/s;
1402553754854;1;1;10.0;1;LINEORDER;169876;5529234056;31.0 MiB/s;
1402553754854;1;1;10.0;1;PART;1151;72980859;60.5 MiB/s;
1402553754854;1;1;10.0;1;SUPPLIER;132;1592977;11.5 MiB/s;
1402625272159;1;1;1.0;1;ALL;16840;532425960;30.2 MiB/s;
1402625272159;1;1;1.0;1;LINEORDER;16785;532425960;30.3 MiB/s;
1402625435917;1;1;1.0;1;ALL;27436;575350159;20.0 MiB/s;
1402625435917;1;1;1.0;1;LINEORDER;27403;575350159;20.0 MiB/s;
1402625477405;1;1;1.0;1;ALL;32085;596674331;17.7 MiB/s;
1402625477405;1;1;1.0;1;CUSTOMER;114;2698630;22.6 MiB/s;
1402625477405;1;1;1.0;1;LINEORDER;31296;575350159;17.5 MiB/s;
1402625477405;1;1;1.0;1;PART;379;18241094;45.9 MiB/s;
1402625477405;1;1;1.0;1;SUPPLIER;93;157383;1.6 MiB/s;
1402625825727;1;1;1.0;1;ALL;28108;596674331;20.2 MiB/s;
1402625825727;1;1;1.0;1;CUSTOMER;91;2698630;28.3 MiB/s;
1402625825727;1;1;1.0;1;LINEORDER;27446;575350159;20.0 MiB/s;
1402625825727;1;1;1.0;1;PART;347;18241094;50.1 MiB/s;
1402625825727;1;1;1.0;1;SUPPLIER;63;157383;2.4 MiB/s;
1402626073993;1;1;1.0;1;ALL;28448;596674331;20.0 MiB/s;
1402626073993;1;1;1.0;1;CUSTOMER;95;2698630;27.1 MiB/s;
1402626073993;1;1;1.0;1;LINEORDER;27770;575350159;19.8 MiB/s;
1402626073993;1;1;1.0;1;PART;340;18241094;51.2 MiB/s;
1402626073993;1;1;1.0;1;SUPPLIER;48;157383;3.1 MiB/s;
1402626260568;1;1;10.0;1;ALL;165887;5529234056;31.8 MiB/s;
1402626260568;1;1;10.0;1;LINEORDER;165846;5529234056;31.8 MiB/s;
1402626336109;1;1;1.0;1;ALL;27618;575350159;19.9 MiB/s;
1402626336109;1;1;1.0;1;LINEORDER;27297;575350159;20.1 MiB/s;
1402626570944;1;1;1.0;1;ALL;27176;575350159;20.2 MiB/s;
1402626570944;1;1;1.0;1;LINEORDER;27134;575350159;20.2 MiB/s;
1402626865792;1;1;1.0;1;ALL;28020;575350159;19.6 MiB/s;
1402626865792;1;1;1.0;1;LINEORDER;27980;575350159;19.6 MiB/s;
1402627045630;1;1;1.0;1;ALL;71;354;4.9 KiB/s;
1402627163012;1;1;1.0;1;ALL;7774;142853594;17.5 MiB/s;
1402627163012;1;1;1.0;1;LINEORDER;7761;142853594;17.6 MiB/s;
1402627273363;1;1;1.0;1;ALL;5427;153377584;27.0 MiB/s;
1402627273363;1;1;1.0;1;CUSTOMER;120;2694607;21.4 MiB/s;
1402627273363;1;1;1.0;1;LINEORDER;4703;132138632;26.8 MiB/s;
1402627273363;1;1;1.0;1;PART;381;18160218;45.5 MiB/s;
1402627273363;1;1;1.0;1;SUPPLIER;47;157062;3.2 MiB/s;
1402627319818;1;1;1.0;1;ALL;5603;153462804;26.1 MiB/s;
1402627319818;1;1;1.0;1;CUSTOMER;94;2698630;27.4 MiB/s;
1402627319818;1;1;1.0;1;LINEORDER;4926;132138632;25.6 MiB/s;
1402627319818;1;1;1.0;1;PART;369;18241094;47.1 MiB/s;
1402627319818;1;1;1.0;1;SUPPLIER;44;157383;3.4 MiB/s;
1402640573439;1;1;1.0;1;ALL;7359;153377584;19.9 MiB/s;
1402640573439;1;1;1.0;1;CUSTOMER;256;2694607;10.0 MiB/s;
1402640573439;1;1;1.0;1;LINEORDER;6397;132138632;19.7 MiB/s;
1402640573439;1;1;1.0;1;PART;412;18160218;42.0 MiB/s;
1402640573439;1;1;1.0;1;SUPPLIER;60;157062;2.5 MiB/s;
1402641212560;1;1;1.0;1;ALL;675;18241094;25.8 MiB/s;
1402641232541;1;1;1.0;1;ALL;532;18160218;32.6 MiB/s;
1402641704906;1;1;1.0;1;ALL;9556;142853594;14.3 MiB/s;
1402641704906;1;1;1.0;1;LINEORDER;9532;142853594;14.3 MiB/s;
1402641782136;1;1;1.0;1;ALL;10754;164177766;14.6 MiB/s;
1402641782136;1;1;1.0;1;CUSTOMER;105;2698630;24.5 MiB/s;
1402641782136;1;1;1.0;1;LINEORDER;9840;142853594;13.8 MiB/s;
1402641782136;1;1;1.0;1;PART;429;18241094;40.6 MiB/s;
1402641782136;1;1;1.0;1;SUPPLIER;49;157383;3.1 MiB/s;
1402642018429;1;1;1.0;1;ALL;7199;153462804;20.3 MiB/s;
1402642018429;1;1;1.0;1;CUSTOMER;114;2698630;22.6 MiB/s;
1402642018429;1;1;1.0;1;LINEORDER;6346;132138632;19.9 MiB/s;
1402642018429;1;1;1.0;1;PART;426;18241094;40.8 MiB/s;
1402642018429;1;1;1.0;1;SUPPLIER;53;157383;2.8 MiB/s;
1402643621529;1;1;1.0;1;ALL;9955;164177766;15.7 MiB/s;
1402643621529;1;1;1.0;1;CUSTOMER;194;2698630;13.3 MiB/s;
1402643621529;1;1;1.0;1;LINEORDER;8698;142853594;15.7 MiB/s;
1402643621529;1;1;1.0;1;PART;594;18241094;29.3 MiB/s;
1402643621529;1;1;1.0;1;SUPPLIER;107;157383;1.4 MiB/s;
1402724515404;1;1;1.0;1;ALL;5822;132138632;21.6 MiB/s;
1402724515404;1;1;1.0;1;LINEORDER;5796;132138632;21.7 MiB/s;
1402724579167;1;1;1.0;1;ALL;11635;164177766;13.5 MiB/s;
1402724579167;1;1;1.0;1;CUSTOMER;121;2698630;21.3 MiB/s;
1402724579167;1;1;1.0;1;LINEORDER;10833;142853594;12.6 MiB/s;
1402724579167;1;1;1.0;1;PART;437;18241094;39.8 MiB/s;
1402724579167;1;1;1.0;1;SUPPLIER;53;157383;2.8 MiB/s;
1402725089657;1;1;1.0;1;ALL;5776;132138632;21.8 MiB/s;
1402725089657;1;1;1.0;1;LINEORDER;5764;132138632;21.9 MiB/s;
1402725105215;1;1;1.0;1;ALL;4006;87681798;20.9 MiB/s;
1402725105215;1;1;1.0;1;LINEORDER;3984;87681798;21.0 MiB/s;
1402725136023;1;1;1.0;1;ALL;3837;87681798;21.8 MiB/s;
1402725136023;1;1;1.0;1;LINEORDER;3801;87681798;22.0 MiB/s;
1402725464610;1;1;10.0;1;ALL;191773;5529234056;27.5 MiB/s;
1402725464610;1;1;10.0;1;LINEORDER;191750;5529234056;27.5 MiB/s;
1402817138091;1;1;10.0;1;ALL;182153;5529234056;28.9 MiB/s;
1402817138091;1;1;10.0;1;LINEORDER;182132;5529234056;29.0 MiB/s;
1402819144223;1;1;1.0;1;ALL;5463;94818048;16.6 MiB/s;
1402819144223;1;1;1.0;1;LINEORDER;5441;94818048;16.6 MiB/s;
1402820464033;1;1;1.0;1;ALL;17981;532425960;28.2 MiB/s;
1402820464033;1;1;1.0;1;LINEORDER;17951;532425960;28.3 MiB/s;
1402820748558;1;1;6.0;1;ALL;35836;584386206;15.6 MiB/s;
1402820748558;1;1;6.0;1;LINEORDER;35823;584386206;15.6 MiB/s;
1402977330860;1;1;1.0;1;ALL;17728;553750132;29.8 MiB/s;
1402977330860;1;1;1.0;1;CUSTOMER;103;2698630;25.0 MiB/s;
1402977330860;1;1;1.0;1;LINEORDER;16997;532425960;29.9 MiB/s;
1402977330860;1;1;1.0;1;PART;368;18241094;47.3 MiB/s;
1402977330860;1;1;1.0;1;SUPPLIER;44;157383;3.4 MiB/s;
1402977464955;1;1;1.0;1;ALL;6220;116142220;17.8 MiB/s;
1402977464955;1;1;1.0;1;CUSTOMER;103;2698630;25.0 MiB/s;
1402977464955;1;1;1.0;1;LINEORDER;5479;94818048;16.5 MiB/s;
1402977464955;1;1;1.0;1;PART;397;18241094;43.8 MiB/s;
1402977464955;1;1;1.0;1;SUPPLIER;57;157383;2.6 MiB/s;
1403017666899;1;1;1.0;1;ALL;6709;116142220;16.5 MiB/s;
1403017666899;1;1;1.0;1;CUSTOMER;101;2698630;25.5 MiB/s;
1403017666899;1;1;1.0;1;LINEORDER;5974;94818048;15.1 MiB/s;
1403017666899;1;1;1.0;1;PART;404;18241094;43.1 MiB/s;
1403017666899;1;1;1.0;1;SUPPLIER;50;157383;3.0 MiB/s;
